scientific_name
Panthera tigris tigris
Elephas maximus indicus
Panthera tigris tigris
Elephas maximus indicus
Panthera uncia
Pavo cristatus
Rhinoceros unicornis
Platanista gangetica
Equus quagga
Loxodonta africana
Giraffa camelopardalis
Acinonyx jubatus
Crocuta crocuta
Ursus arctos
Canis lupus
Falco peregrinus
Bubo bubo
